Timestamp,RPS,Pod,CPU(m),Mem(Mi),Disk(MB/s),Node_Disk_Lat_R(ms),Node_Disk_Lat_W(ms),Node_Disk_Util(%),Mem_BW(%),Max_Core_Util(%),Core_00,Core_01,Core_02,Core_03,Core_04,Core_05,Core_06,Core_07,Core_08,Core_09,Core_10,Core_11,Core_12,Core_13,Core_14,Core_15,Core_16,Core_17,Core_18,Core_19,Core_20,Core_21,Core_22,Core_23,Core_24,Core_25,Core_26,Core_27,Core_28,Core_29,Core_30,Core_31,Core_32,Core_33,Core_34,Core_35
2026-01-05 15:25:31,500,recommendation-54767cbbc7-q7nw2,159,9,0,0.0,1.82,3.68,0.25,29.29,28.2,29.3,28.9,28.5,28.3,28.4,28.0,29.0,28.1,28.0,28.1,28.2,27.7,27.8,27.4,27.2,28.0,27.6,27.2,26.4,26.9,26.5,28.2,26.1,26.8,26.1,26.6,26.3,26.1,26.3,26.3,25.6,27.6,26.3,26.2,26.3
2026-01-05 15:25:31,500,mongodb-recommendation-75568b6f76-zhshv,6,152,0.01,0.0,1.82,3.68,0.25,29.29,28.2,29.3,28.9,28.5,28.3,28.4,28.0,29.0,28.1,28.0,28.1,28.2,27.7,27.8,27.4,27.2,28.0,27.6,27.2,26.4,26.9,26.5,28.2,26.1,26.8,26.1,26.6,26.3,26.1,26.3,26.3,25.6,27.6,26.3,26.2,26.3
2026-01-05 15:25:31,500,consul-6c66db6cf9-l56kw,16,35,0.0,0.0,1.82,3.68,0.25,29.29,28.2,29.3,28.9,28.5,28.3,28.4,28.0,29.0,28.1,28.0,28.1,28.2,27.7,27.8,27.4,27.2,28.0,27.6,27.2,26.4,26.9,26.5,28.2,26.1,26.8,26.1,26.6,26.3,26.1,26.3,26.3,25.6,27.6,26.3,26.2,26.3
2026-01-05 15:25:31,500,memcached-reserve-fc9858477-bl9qt,219,29,0,0.0,1.82,3.68,0.25,29.29,28.2,29.3,28.9,28.5,28.3,28.4,28.0,29.0,28.1,28.0,28.1,28.2,27.7,27.8,27.4,27.2,28.0,27.6,27.2,26.4,26.9,26.5,28.2,26.1,26.8,26.1,26.6,26.3,26.1,26.3,26.3,25.6,27.6,26.3,26.2,26.3
2026-01-05 15:25:31,500,reservation-777c594498-pvmmg,3023,56,0,0.0,1.82,3.68,0.25,29.29,28.2,29.3,28.9,28.5,28.3,28.4,28.0,29.0,28.1,28.0,28.1,28.2,27.7,27.8,27.4,27.2,28.0,27.6,27.2,26.4,26.9,26.5,28.2,26.1,26.8,26.1,26.6,26.3,26.1,26.3,26.3,25.6,27.6,26.3,26.2,26.3
2026-01-05 15:25:31,500,user-5d98cbdf68-7cx9t,5,8,0,0.0,1.82,3.68,0.25,29.29,28.2,29.3,28.9,28.5,28.3,28.4,28.0,29.0,28.1,28.0,28.1,28.2,27.7,27.8,27.4,27.2,28.0,27.6,27.2,26.4,26.9,26.5,28.2,26.1,26.8,26.1,26.6,26.3,26.1,26.3,26.3,25.6,27.6,26.3,26.2,26.3
2026-01-05 15:25:31,500,frontend-7dfcbdcf84-85mq7,1303,26,0,0.0,1.82,3.68,0.25,29.29,28.2,29.3,28.9,28.5,28.3,28.4,28.0,29.0,28.1,28.0,28.1,28.2,27.7,27.8,27.4,27.2,28.0,27.6,27.2,26.4,26.9,26.5,28.2,26.1,26.8,26.1,26.6,26.3,26.1,26.3,26.3,25.6,27.6,26.3,26.2,26.3
2026-01-05 15:25:31,500,mongodb-reservation-f6dd96d48-zwmn9,309,196,0.17,0.0,1.82,3.68,0.25,29.29,28.2,29.3,28.9,28.5,28.3,28.4,28.0,29.0,28.1,28.0,28.1,28.2,27.7,27.8,27.4,27.2,28.0,27.6,27.2,26.4,26.9,26.5,28.2,26.1,26.8,26.1,26.6,26.3,26.1,26.3,26.3,25.6,27.6,26.3,26.2,26.3
2026-01-05 15:25:31,500,rate-66f876b499-pgbvq,1332,22,0,0.0,1.82,3.68,0.25,29.29,28.2,29.3,28.9,28.5,28.3,28.4,28.0,29.0,28.1,28.0,28.1,28.2,27.7,27.8,27.4,27.2,28.0,27.6,27.2,26.4,26.9,26.5,28.2,26.1,26.8,26.1,26.6,26.3,26.1,26.3,26.3,25.6,27.6,26.3,26.2,26.3
2026-01-05 15:25:31,500,jaeger-7c5bd85b67-6dwml,0,9,0,0.0,1.82,3.68,0.25,29.29,28.2,29.3,28.9,28.5,28.3,28.4,28.0,29.0,28.1,28.0,28.1,28.2,27.7,27.8,27.4,27.2,28.0,27.6,27.2,26.4,26.9,26.5,28.2,26.1,26.8,26.1,26.6,26.3,26.1,26.3,26.3,25.6,27.6,26.3,26.2,26.3
